carrier_code,name,country
FB,Translift Airways Limited,Ireland
FBI,Young Flying Service,United States
FCQ,Falcon Air Express,United States
FDM,Freedom Airlines Inc.,United States
FDQ,Great American Airways,United States
FE,Primaris Airlines Inc.,United States
FF,Tower Air Inc.,United States
FI,Icelandair,Iceland
FL (1),Frontier Airlines Inc. (1),United States
FLA,Florida Air,United States
FLM,Flamenco Airways Inc.,United States
FNQ,Fine Airlines Inc.,United States
FOS,Foster Aviation,United States
FRA,Freedom Air,New Zealand
FRS,Four Star Aviation,United Kingdom
FRT,Frontier Commuter,United States
FRW,Farwest Airlines,United States
FSA,F.S. Air Service,United States
FTI,Southern Airways,United States
FWA,Far West Airlines,United States
G4,Allegiant Air,United States
GAL,Galena Air Service,United States
GAQ,Galaxy Airlines Inc.,Japan
GAS,General Aviation Inc.,Poland
GBQ,G5 Executive Ag,Switzerland
GFC,Gulf Flite Center,United States
GG (1),Tropical Airways Inc.,Haiti
GKQ,Laker Airways,United States
GL,Miami Air International,United States
GPA,GP Express Airlines,United States
GQ,Big Sky Airlines Inc.,United States
GRD,Grand Canyon Airlines,United States
GSC,GCS Air Service,United States
GSQ,Global Supply System,United Kingdom
GST,Golden State Airlines,United States
GU,Aviateca,Guatemala
GUL,Gull Air Inc.,United States
GV,Grant Aviation,United States
GW,Central American Airlines,Nicaragua
GWE,Ross Aviation Inc.,United States
H5,Magadan Airlines,Russia
H6,Hageland Aviation Service,United States
HA,Hawaiian Airlines Inc.,United States
HAR,Friendship Air Alaska,United States
HCQ,Av Atlantic,United States
HEL,Helitrans,Norway
HFQ,Haiti Air Freight Intl,Haiti
HLQ,Heavylift Cargo Airlines Lt,Australia
HMZ,Long Island Airlines,United States
HOL,Holiday Airlines Inc.,United States
HPZ,Pacific Coast Airlines,United States
HQ,Harmony Airways,Canada
HQ (1),Business Express,United States
HRQ,Tar Airlines,United States
HSV,Harbor Air Service,United States
HSZ,Scenic Airlines Inc.,United States
HVQ,Transavia Holland B. V.,Netherlands
HY,Uzbekistan Airways,Uzbekistan
IA,Iraqi Airways,Iraq
ICH,Island Air Charters,United States
IEX,Island Air Express,United States
IGA,Global Jet Austria,Austria
IOW,Iowa Airways,United States
IPQ,Aruba Cargo,Aruba
IPS,Island Express,United States
IRQ,Interstate Airlines Inc.,Netherlands
IS,Island Airlines Inc.,United States
ISL,Island Airlines,United States
J7,Valujet Airlines Inc.,United States
JCZ,Rocky Mountain Airways Inc.,United States
JF,L.A.B. Flying Service Inc.,United States
JI,Jade Cargo International,China
JN,Excel Airways,United Kingdom
JR,Aero California,Mexico
JW,Arrow Air Inc.,United States
JX,Southeast Airlines,United States
K8,Dutch Caribbean Airlines,Trinidad and Tobago
KAQ,Kalitta Air LLC,United States
KB,Haiti Air,Haiti
KEE,Key Airlines,United States
KFS,King Flying Service,Belgium
KIN,Golden Pacific Airlines,United States
KLQ,Kalitta Charters II,United States
KM,Air Malta,Malta
KO,Alaska Central Express,United States
KR,Kitty Hawk Aircargo,United States
KS,Peninsula Airways Inc.,United States
KU,Kuwait Airways Corp.,Kuwait
KWQ,Kelowna Flightcraft Air Cha,Canada
KWZ,Crown Air,Canada
KXZ,Chaparral Airlines Inc.,United States
KZ,Nippon Cargo Airlines,Japan
LAH,La Helicopter,United States
LAR,Laredo Air,United States
LAW,Lawrence Aviation,United States
LC (2),Legend Airlines,United States
LG,Luxair,Luxembourg
LLA,Lakeland Aviation,United States
LR,Lacsa,Costa Rica
LRQ,Air Liberte,France
LSQ,Lineas Aereas Suramerican,Colombia
LSZ,Alaska Island Air Inc.,United States
LU,Air Atlantic Dominicana,Dominican Republic
LW,Pacific Wings Airlines,Vietnam
LX,Swiss International Airlines,Switzerland
LY,El Al Israel Airlines Ltd.,Israel
LZ,Balkan Bulgarian Airlines,Bulgaria
M6,Amerijet International,United States
MA,Malev Hungarian Airlines,Hungary
MAV,Maverick Airways,United States
MCO,Mid Continental Airlines In,United States
ME,Middle East Airlines S.A.L.,Lebanon
MEX,Metro Express 11,United States
MG,Champion Air,United States
MHK,Mohawk Airlines,United States
MHO,Mahalo Air,United States
MIS,Midstate Airlines Inc.,United States
ML,Aero Costa Rica,Costa Rica
MM,Euro Atlantic Airways,Portugal
MNA,M & N Aviation,United States
MOQ,Morningstar Air Express,Canada
MPA,Mid Pacific Airlines Inc.,United States
MQ,American Eagle Airlines Inc.,United States
MS,Egyptair,Egypt
MST,Midwest Aviation,United States
MTX,Mountain Air Express,United States
MU,China Eastern Airlines,China
N5,Skagway Air Service,United States
N5 (1),Nations Air Express Inc.,United States
N7,National Airlines,United States
NA,North American Airlines,United States
NC,Northern Air Cargo Inc.,United States
NCE,Northcoast Executive,United States
NEQ,North East Cargo Airlines,Nigeria
NEV,Nevada Airlines,United States
NEW,New England Airlines Inc.,United States
NFA,National Florida Airlines,United States
NH,All Nippon Airways Co.,Japan
NI,Lanica,Nicaragua
NJ,Vanguard Airlines Inc.,United States
NK,,United States
,Spirit Air Lines,Spirit Air Lines
NLQ,Nolinor Aviation,Canada
NQ,Air Japan Co,Japan
NSQ,North Coast Air Services,Canada
NTQ,National Aviation Consult.,Canada
NUQ,Air Niugini,Papua New Guinea
NW,Northwest Airlines Inc.,United States
NYH,New York Helicopter Corp.,United States
NZ,Air New Zealand,New Zealand
OAK,Harbor Airlines Inc.,United States
OD (1),Aerocondor,Portugal
OIZ,Corporate Air Inc.,Italy
OK,Czech Airlines,Czech Republic
ONQ,Nunasi-Central Airlines Ltd.,Canada
OO,Skywest Airlines Inc.,United States
OS,Austrian Airlines,Austria
OW,Executive Airlines,United States
OZ,Asiana Airlines Inc.,Republic of Korea
OZA,Ozark Air Lines Inc.,United States
PA,Florida Coastal Airlines,United States
PA (1),Pan American World Airways (1),United States
PA (2),Pan American World Airways,United States
PAT,Panorama Air Tours,United States
PBQ,Privatair,Switzerland
PCQ,Pace Airlines,United States
PCR,Pacair,United States
PD,Porter Airlines,Canada
PDA,Trans Southern Airways,United States
PEQ,Prince Edward Air,Canada
PFA,Pacificair,Philippines
PH,Polynesian Airlines Ltd.,Samoa
PHX,Phoenix Airlines,Brazil
PIA,Pacific Island Airways,United States
PIQ,Pacific Int'l Airlines,Vietnam
PKQ,Skyworld Airlines Inc.,United States
PLQ,Planet Airways,United States
PN,Pan American Airways Corp.,United States
PNQ,Panagra Airways,United States
POA,Potomac Air,United States
PPQ,Propair,Canada
PR,Philippine Airlines Inc.,Philippines
PRP,Propheter Aviation,United States
PRR,Pro Air Services,United States
PS,Pacific Southwest Airlines,United States
PT,Capital Cargo International,United States
PTQ,Flight International,United States
PW,Pacific Western Airlines,United States
Q5,40-Mile Air,United States
QD,Grand Airways Inc.,United States
QH,Air Florida Inc.,United States
QO,Aeromexpress,Mexico
QX,Horizon Air,United States
RB,Syrian Arab Airlines,Syrian Arab Republic
RC,Republic Airlines Inc.,United States
RD,Ryan International Airlines,United States
RD (1),Airlift International Inc.,United States
RDR,Rader Aviation,United States
REQ,Renown Aviation,United States
RIC,Richardson Aviation,United States
RIO,Rio Airways Inc.,United States
RIQ,Rich International Airways,United States
RK,Air Afrique,Ivory Coast
RL,UltrAir,United States
RLQ,Reliant Airlines,United States
RMV,Ram Aviation,United States
RNQ,Mytravel Airways,United Kingdom
ROY,Royal American Airways Inc.,United States
RP,Chautauqua Airlines Inc.,United States
RRT,Air Freight Express,United Kingdom
RV,Reeve Aleutian Airways Inc.,United States
RW,Republic Airlines,United States
S3,Santa Barbara Airlines,Venezuela
S4,Sata Internacional,Portugal
S5,Shuttle America Corp.,United States
SA,South African Airways,South Africa
SAI,Seair Alaska Airlines Inc.,United States
SBA,Saber Aviation Inc.,United States
SE,Das Air Cargo,Uganda
SER,Service Aviation Inc.,United States
SFQ (1),Southern Frontier Air Trans,Canada
SG,Jetsgo,Canada
SHV,Shavano Air Inc.,United States
SI,Sierra Pacific Airlines,United States
SIQ,Premiair,Luxembourg
SIQ (1),Scanair,China
SJA,San Juan Airlines Inc.,United States
SJQ,Skycharter (Malton) Ltd.,Canada
SK, Denmark and Norway,Sweden
SKJ,Sky-Jet,Switzerland
SKL,Bas Airlines,Netherlands
SLQ,Sky King Inc.,United States
SLR,Salair,United States
SM,Sunworld Int'l Airlines,United States
SNE,Shawnee Airlines,United States
SO,Swiss World Airways,United States
SOA,Mall Airways Inc.,United States
SOE,Sky One Express,Greece
SOL,Soonair Lines Inc.,United States
SOP,South Pacific Island Airway,United States
SPQ,Sun Pacific International,United States
SQ,Singapore Airlines Ltd.,Singapore
SRA,Star Aviation,United Kingdom
SSP,Southern Seaplane,United States
SSS,Sierra Express Inc.,United States
STQ,Skycraft Air Transport Inc.,Canada
STW,Stateswest Airlines,United States
SU,Aeroflot Russian Airlines,Russia
SUA,Sunshine Airlines,
SVW,Global Jet Luxembourg,Luxembourg
SWA,Sunwest Airlines,Canada
SX,Skybus Airlines,United States
T3,Tristar Airlines Inc.,United States
T9,Transmeridian Airlines,United States
TAQ,Taquan Air Service,United States
TCO,Trans-Colorado Airlines,United States
TCQ,Express.Net Airlines,United States
TEN,Tennessee Airways Inc.,United States
TH,Transmile Air Service,Malaysia
TIA,Trans Air Inc.,United States
TIE,Trans International Express,United States
TIQ,Tyrolean Jet Service,Austria
TIS,Skyfreight,United States
TLQ,Trans-Mediterranean Airways,Egypt
TN,Air Tahiti Nui,France
TNQ,Emery Worldwide Airlines,United States
TR,Transbrasil S.A.,Brazil
TRI,Great Plains Airlines Inc.,United States
TRR,Territorial Airlines,United States
TS,Air Transat,Canada
TSF,American Central Airlines,United States
TSQ,TPI International Airways,Spain
TV,Haiti Trans Air,Haiti
TVL,Travelair,Uruguay
TWA,Trans Western Airlines Utah,United States
TWE,Trans World Express,United States
TX (1),Transportes Aereos Nacional,Honduras
TXA,Texas National Airlines,United States
TXQ,British Caribbean Airways,United Kingdom
TXY,Texas Airways,United States
TZQ,First Choice Airways,United Kingdom
U5,USA 3000 Airlines,United States
U7,USA Jet Airlines Inc.,United States
UAI,Universal Airways Inc.,United States
UN,Transaero Airlines,Russia
USA,Air U.S.,Russia
UTQ,Universal Airlines Inc.,United States
UX,Air Europa,Spain
UX (1),Air Illinois Inc.,United States
UYQ,Aerolineas Uruguayas S.A.,Uruguay
V8,Iliamna Air Taxi,United States
VAQ,Vacationair,Canada
VB,Pacific Express,Solomon Islands
VH,Aeropostal Alas De Venezuel,Venezuela
VI,Vieques Air Link Inc.,United States
VIG,Viking Express,United States
VIQ,Volga-Dnepr Airlines,Russia
VIQ (1),Viscount Air Service Inc.,United States
VS,Virgin Atlantic Airways,United Kingdom
VV (1),Challenge Air Transport Inc.,Germany
VX,Virgin America,United States
VX (1),Aces Airlines,United States
W7,Western Pacific Airlines,United States
W8,Cargojet Airways Ltd.,Canada
W9,Eastwind Airlines Inc.,United States
WAP,Arrow Panama,Panama
WAW,Westward Airways Inc.,United States
WEQ,Aero-Services-Corporate,France
WFT,Westflight Aviation,United Kingdom
WG,Sunwing Airlines Inc.,Canada
WI,Tradewinds Airlines,United States
WIR,Williams Air Inc.,United States
WLH,Welch Aviation,United States
WN,Southwest Airlines Co.,United States
WNG,Wings Airways,United States
WO,World Airways Inc.,United States
WRA,Wra Inc.,United States
WRT,Wright Airlines Inc.,United States
WS,Westjet,Canada
WSU,Mission Air,Spain
WT,Nigeria Airways Ltd.,Nigeria
WTA,Westates Airlines,United States
X9,Omni Air Express,Sweden
XAC,Air Express Int'l Airlines,United States
XAM,Cohlmia Aviation,United States
XAU,Flight Line Inc.,United States
XBF,WTC Airlines,United States
XBJ,International Air Service,United States
XBT,Pacific Alaska Airlines Inc.,United States
XBX,Icb International Airlines,Japan
XDA,Pacific Air Express Inc.,Solomon Islands
XDH,Kitty Hawk Air Cargo,United States
XF,Vladivostok Air,Russia
XJ,Mesaba Airlines,United States
XPQ,International Cargo Xpress,São Tomé and Príncipe
XYZ,Airpac Inc.,United States
YAT,Friendship Airways,United States
YB,Trans Continental Airlines,Sudan
YM,Royal West Airlines,United States
YV,Mesa Airlines Inc.,United States
ZAQ,Zas Airline Of Egypt,Egypt
ZB,Monarch Airlines,United Kingdom
ZE,Lineas Aereas Azteca,Mexico
ZK,Great Lakes Airlines,United States
ZKQ,Zantop International,United States
ZN,Key Airlines Inc.,United States
ZP,Air St. Thomas,United States
ZQ,Caribbean Sun Airlines,Trinidad and Tobago
ZS,Hispaniola Airways,Dominican Republic
ZV,Air Midwest Inc.,United States
ZX,Air Georgian,Canada
ZY,Atlantic Gulf Airlines,United States
UA,United Airlines,United States
XE,JetSuite Air,United States
HP,Sparrow Aviation,Sweden
US,US Airways,United States
FL,AirTran,United States
TW,Tway Air,South Korea
TZ,Air Tanzania,Tanzania
