text_score,text_score_expansion,hashtag,hasURL,isReply,length,tweet_topic_time_diff,semantic_overlap,#entityTypes,#entities,organization_entities,person_entities,work_entities,event_entities,species_entities,places_entities,nFollowers,nFriends,nFavorties,nListed,isVerified,isGeoEnabled,twitterAge,#tweetsPosted,relevanceJudge
-16,-16,0,1,1,84,12,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,1.452868,177,0
-9.20117,-7.70703,0,1,0,56,10,0,1,3,0,1,0,0,0,0,725,309,0,34,0,0,1.100353,1689,0
-9.20117,-7.70703,0,1,0,57,7,0,0,1,0,0,0,0,0,0,376,659,20,16,0,1,1.807176,7359,0
-9.20236,-7.70792,0,1,0,76,8,0,2,3,2,0,1,0,0,0,128,151,46,8,0,1,1.295393,8330,0
-16,-16,0,1,0,50,0,0,1,2,1,0,0,0,0,0,1343,367,45,63,0,0,1.386619,25966,0
-9.06621,-7.60593,0,1,0,65,12,0,1,2,0,0,0,0,0,1,62,227,1,1,0,1,3.120465,285,1
-9.06621,-7.60593,0,1,0,64,0,0,1,2,1,0,0,0,0,0,54,100,1,3,0,0,1.064703,126,0
-9.06621,-7.60593,0,1,0,64,1,0,1,2,1,0,0,0,0,0,431,440,3,10,0,0,2.297989,19535,0
-9.1607,-7.67692,1,1,0,76,1,0,1,2,1,0,0,0,0,0,2848,1001,1,159,0,0,1.443787,2221,0
-16,-16,1,1,0,66,1,0,0,0,0,0,0,0,0,0,1414,160,1,42,0,0,4.357844,184966,0
-8.92596,-7.49843,0,1,0,105,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,-16,0,1,0,116,0,0,0,2,0,0,0,0,0,0,607,281,0,10,0,0,2.223025,35730,0
-9.10595,-7.63328,1,1,0,116,3,0,0,4,0,0,0,0,0,0,1428,497,0,31,0,0,2.222996,94854,0
-9.10556,-7.63323,0,1,0,100,9,0,1,3,0,0,1,0,0,0,1428,497,0,31,0,0,2.222996,94854,0
-16,-16,1,1,0,120,2,0,1,5,0,0,1,0,0,0,719,286,0,16,0,0,2.220884,61286,0
-9.10595,-7.63352,0,1,0,108,5,0,2,5,0,0,1,0,0,1,1428,497,0,31,0,0,2.222996,94854,0
-9.10556,-7.6331,0,1,0,116,12,0,1,3,1,0,0,0,0,0,228,169,0,1,0,0,1.845193,12331,0
-16,-16,1,1,0,116,0,0,1,4,0,0,0,0,0,1,1428,497,0,31,0,0,2.222996,94854,0
-16,-16,1,1,0,80,12,0,0,0,0,0,0,0,0,0,29,20,0,0,0,0,1.331417,2442,0
-16,-16,0,1,0,73,15,0,2,2,1,0,2,0,0,0,5374,481,22,257,0,1,4.874519,1902,0
-16,-16,0,1,0,54,0,0,1,1,1,0,0,0,0,0,125,38,0,2,0,0,2.322202,6660,0
-16,-16,0,1,0,90,15,0,2,4,0,1,1,0,0,0,324,2,0,4,0,0,2.945164,35029,0
-16,-16,0,1,0,110,1,0,1,6,0,0,0,0,0,1,1486,2,1,21,0,0,1.717063,61464,0
-9.16467,-7.68035,0,1,0,116,0,0,1,1,1,0,0,0,0,0,4862,2226,1,167,0,0,3.353956,133423,0
-9.16467,-7.68035,0,1,0,116,0,0,1,1,1,0,0,0,0,0,238,0,0,2,0,0,1.950256,30165,0
-9.16348,-7.67945,0,1,0,120,0,0,1,1,1,0,0,0,0,0,140,102,5,2,0,0,3.029555,395,0
-16,-16,0,1,0,116,2,0,2,5,4,1,0,0,0,0,164,0,0,1,0,0,2.059459,57196,0
-16,-16,0,1,0,116,4,0,1,2,1,0,0,0,0,0,3012,54,0,33,0,0,1.266451,263788,0
-9.1852,-7.69562,0,1,0,116,3,0,2,5,3,0,0,0,0,1,342,0,0,7,0,0,2.668999,47635,0
-9.20275,-7.70866,1,1,0,116,4,0,2,5,2,2,0,0,0,0,1494,1887,0,36,0,0,2.878798,70190,0
-9.18599,-7.69621,0,1,0,116,12,0,1,4,0,1,0,0,0,0,4701,124,0,173,0,0,3.186112,5371,0
-7.36722,-6.33115,0,1,0,116,13,1,1,4,1,0,0,0,0,0,58,1,0,1,0,0,1.709992,24667,1
-7.41155,-6.36496,0,1,0,116,13,1,1,5,1,0,0,0,0,0,238,0,0,2,0,0,1.950256,30165,1
-7.66683,-6.55655,0,1,0,115,13,1,1,3,1,0,0,0,0,0,1656,2029,0,19,0,0,2.228244,87165,1
-7.72178,-6.59785,0,1,0,111,12,1,1,3,2,0,0,0,0,0,426,1845,0,6,0,0,1.484322,29732,1
-7.52784,-6.4524,0,1,0,116,12,1,2,2,1,0,1,0,0,0,623,45,40,11,0,0,2.625213,37494,1
-7.83753,-6.68467,0,1,0,116,13,1,1,4,2,0,0,0,0,0,1935,1910,1,15,0,1,1.779353,34538,1
-7.93361,-6.75685,0,1,0,113,4,1,1,1,2,0,0,0,0,0,1741,1997,5,30,0,0,3.045731,3929,1
-7.57687,-6.48802,1,1,0,114,13,1,1,1,1,0,0,0,0,0,6218,1804,158,314,0,1,3.087427,6556,1
-7.97131,-6.7851,0,1,1,75,5,1,1,1,1,0,0,0,0,0,52,127,3,12,0,0,3.227468,1605,0
-16,-16,0,1,0,119,12,0,0,1,0,0,0,0,0,0,525,331,1,11,0,0,1.633153,772,1
-16,-16,0,1,0,119,12,0,0,0,0,0,0,0,0,0,214,1,0,4,0,0,2.634788,20483,0
-7.87426,-6.71244,0,1,0,116,12,1,1,3,1,0,0,0,0,0,14478,23,0,904,0,0,2.834875,11068,1
-7.87505,-6.71303,0,1,0,116,12,1,2,4,1,1,0,0,0,0,1603,1695,0,1,0,0,2.466127,5643,1
-7.71841,-6.5953,0,1,0,116,12,1,2,5,4,0,0,0,0,1,487,764,0,10,0,0,1.437516,12076,1
-16,-16,0,1,0,116,12,0,0,0,0,0,0,0,0,0,382,23,0,17,0,0,2.518247,48553,0
-16,-16,0,1,0,116,8,0,0,0,0,0,0,0,0,0,340,0,0,19,0,0,4.216174,10777,0
-7.87227,-6.71095,0,1,0,67,7,1,1,2,1,0,0,0,0,0,21464,1864,82,1270,0,0,3.013784,44412,0
-7.87148,-6.71035,0,1,0,40,7,1,2,2,1,0,1,0,0,0,2052,424,1,105,0,0,2.306586,4634,0
-7.87148,-6.71035,0,1,0,40,0,1,2,2,1,0,1,0,0,0,1030,544,189,58,0,0,3.097335,8593,0
-7.52705,-6.45181,0,1,0,64,12,1,1,2,1,0,0,0,0,0,426,645,21,10,0,1,3.562135,2102,1
-7.52864,-6.453,0,1,0,52,12,1,1,2,1,0,0,0,0,0,2060,79,0,31,0,0,1.934636,82010,1
-16,-16,0,1,0,23,13,0,0,0,0,0,0,0,0,0,782,1560,345,40,0,0,4.450536,3623,1
-8.97996,-7.54169,0,1,0,39,7,0,2,3,1,1,0,0,0,0,414,60,9,19,0,0,4.860172,778,1
-16,-16,0,1,0,93,9,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-16,-16,0,1,0,30,8,0,0,1,0,0,0,0,0,0,22,84,0,0,0,1,1.08797,74,0
-16,-16,0,0,1,130,2,0,1,2,1,0,0,0,0,0,79,161,15,3,0,0,1.564075,8180,0
-16,-16,0,1,0,116,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.83926,-7.43505,0,1,0,116,6,0,0,1,0,0,0,0,0,0,8491,9880,0,43,0,0,1.376924,131440,0
-16,-16,0,1,0,116,0,0,1,3,0,0,0,0,0,1,307,0,0,8,0,0,1.724825,42179,0
-16,-16,0,1,0,116,0,0,1,4,0,0,1,0,0,0,7916,8120,0,67,0,0,3.137441,11328,0
-8.92488,-7.50038,0,1,0,116,14,0,1,3,0,0,1,0,0,0,254,38,0,5,0,0,1.170536,99658,1
-16,-16,0,1,0,116,0,0,2,5,2,0,1,0,0,0,46,0,0,2,0,0,2.081769,4251,0
-16,-16,0,1,0,61,0,0,1,2,0,0,1,0,0,0,395,0,0,16,0,0,2.315147,30714,0
-16,-16,0,1,0,116,0,0,2,4,2,0,1,0,0,0,1331,0,0,9,0,0,2.767166,125154,0
-16,-16,0,1,0,116,0,0,0,2,0,0,0,0,0,0,35,12,0,0,0,0,1.746911,21289,0
-16,-16,0,1,0,116,0,0,2,5,0,0,1,0,0,1,218,347,3,9,0,1,2.457098,8296,0
-16,-16,0,1,0,116,5,0,0,5,0,0,0,0,0,0,295,40,0,2,0,0,1.324019,19939,0
-8.95706,-7.5234,0,1,0,116,5,0,0,2,0,0,0,0,0,0,960,17,0,5,0,0,2.748978,42218,0
-16,-16,0,1,0,116,16,0,0,1,0,0,0,0,0,0,4862,2226,1,167,0,0,3.353956,133423,0
-16,-16,0,1,0,116,1,0,0,1,0,0,0,0,0,0,344,0,0,6,0,0,1.647065,51174,0
-16,-16,0,0,0,136,1,0,0,2,0,0,0,0,0,0,35,0,0,0,0,0,1.347193,2199,0
-9.1607,-7.67737,1,1,0,54,4,0,2,2,1,0,1,0,0,0,645,1890,0,5,0,1,2.80478,8210,1
-8.06779,-6.85759,0,1,0,87,5,1,1,3,1,0,0,0,0,0,8112,8265,0,490,0,0,2.206531,8158,1
-7.82165,-6.67298,0,1,0,112,13,1,2,3,1,0,2,0,0,0,1927,1806,3,184,0,0,2.731911,17092,1
-7.92924,-6.75357,0,1,0,55,13,1,1,3,1,0,0,0,0,0,1107,2003,0,1,0,1,1.290818,32081,1
-7.78832,-6.64789,0,1,0,67,13,1,1,5,1,0,0,0,0,0,3,0,0,0,0,0,1.364838,196,1
-7.87664,-6.71422,0,1,0,104,13,1,1,2,1,0,0,0,0,0,861,433,37,73,0,0,4.645528,11568,1
-7.87148,-6.71035,0,1,0,42,13,1,1,1,1,0,0,0,0,0,202,1,0,11,0,0,1.682739,14520,1
-7.87227,-6.71095,0,1,0,56,13,1,1,1,1,0,0,0,0,0,1271,1851,45,49,0,1,2.997906,21828,1
-7.87624,-6.71392,0,0,0,128,13,1,1,3,3,0,0,0,0,0,726,1130,0,16,0,0,2.015158,1432,0
-7.87188,-6.71065,0,1,0,53,13,1,2,2,1,0,1,0,0,0,102,412,67,0,0,0,1.772244,2495,1
-7.77778,-6.63995,0,1,0,109,13,1,3,5,3,1,1,0,0,0,329,660,0,2,0,0,1.191687,34653,1
-16,-16,1,1,0,110,6,0,1,4,2,0,0,0,0,0,1432,24,3,12,0,0,2.272366,79784,0
-16,-16,1,1,0,110,1,0,2,4,2,0,1,0,0,0,1432,24,3,12,0,0,2.272366,79784,0
-16,-16,1,1,0,110,0,0,1,4,2,0,0,0,0,0,1432,24,3,12,0,0,2.272366,79784,0
-16,-16,1,1,0,110,0,0,0,4,0,0,0,0,0,0,1432,24,3,12,0,0,2.272366,79784,0
-9.01807,-7.56926,0,1,0,117,13,0,1,3,1,0,0,0,0,0,9166,10363,9,104,0,0,2.955299,37840,0
-7.69311,-6.57646,0,1,0,115,12,1,2,3,3,1,0,0,0,0,1686,2023,1,15,0,0,2.397717,87139,1
-16,-16,0,1,0,120,4,0,2,6,1,0,1,0,0,0,1743,2000,18,40,0,1,2.54428,9488,0
-9.10674,-7.63451,0,1,0,120,7,0,1,3,0,0,0,0,0,2,17,0,0,0,0,0,1.216128,3739,0
-16,-16,0,1,0,120,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,2.483013,480,0
-16,-16,0,1,0,120,4,0,1,3,1,0,0,0,0,0,5826,657,10,313,0,0,2.932647,19897,0
-9.12503,-7.65037,0,1,0,120,16,0,1,2,1,0,0,0,0,0,28,6,0,0,0,0,3.570653,1094,0
-9.20196,-7.70807,0,1,0,116,16,0,1,3,1,0,0,0,0,0,4204,4066,0,82,0,0,2.119429,80611,0
-9.12622,-7.65126,0,1,0,116,4,0,2,5,3,0,1,0,0,0,1959,54,0,87,0,0,1.842738,153448,0
-8.99911,-7.55618,0,1,0,116,2,0,1,3,0,1,0,0,0,0,1959,54,0,87,0,0,1.842738,153448,0
-9.07644,-7.61417,0,1,0,116,2,0,1,3,0,1,0,0,0,0,188,83,0,2,0,1,2.202487,38512,0
-9.07564,-7.61357,0,1,0,116,4,0,0,1,0,0,0,0,0,0,1309,1736,1,3,0,1,1.170375,3043,0
-16,-16,0,1,0,116,16,0,0,1,0,0,0,0,0,0,7071,543,0,137,0,0,3.035389,9101,0
-8.7849,-7.39505,0,1,0,116,13,0,1,4,0,0,0,0,0,1,161,1,0,0,0,0,1.616348,24598,1
-9.20236,-7.70836,1,1,0,116,0,0,1,3,1,0,0,0,0,0,1204,1961,166,18,0,0,3.45744,60305,0
-16,-16,0,1,0,116,0,0,3,6,1,0,3,0,0,1,1959,54,0,87,0,0,1.842738,153448,0
-16,-16,0,1,0,116,15,0,2,5,1,0,2,0,0,0,1959,54,0,87,0,0,1.842738,153448,0
-16,-16,0,1,0,116,6,0,3,6,1,2,2,0,0,0,1959,54,0,87,0,0,1.842738,153448,0
-16,-16,0,1,0,116,1,0,0,0,0,0,0,0,0,0,10562,10049,0,94,0,0,1.191329,7896,0
-16,-16,0,1,0,116,2,0,0,1,0,0,0,0,0,0,131,5,0,0,0,0,1.356363,26593,0
-16,-16,0,1,0,116,2,0,0,1,0,0,0,0,0,0,50,83,0,0,0,0,1.761042,9274,0
-16,-16,0,1,0,116,5,0,1,3,1,0,0,0,0,0,2107,777,2,7,0,1,2.821707,19551,0
-16,-16,0,1,0,116,15,0,1,5,2,0,0,0,0,0,141,2,1,1,0,0,2.345245,10161,0
-16,-16,0,1,0,116,12,0,1,3,0,0,0,0,0,1,952,1381,2,18,0,0,3.257853,81344,0
-16,-16,0,1,0,116,15,0,0,0,0,0,0,0,0,0,111,6,0,4,0,0,2.172308,22540,0
-16,-16,0,1,0,116,15,0,0,1,0,0,0,0,0,0,315,154,2,3,0,0,2.803364,125695,0
-16,-16,0,1,0,110,15,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-16,-16,0,1,0,110,0,0,0,2,0,0,0,0,0,0,1540,612,126,39,0,0,2.954731,43951,0
-16,-16,1,1,0,112,0,0,1,1,0,0,1,0,0,0,874,1819,55,13,0,1,1.815437,35304,0
-16,-16,0,1,0,111,11,0,1,3,0,0,0,0,0,1,2399,3324,0,18,0,1,2.471261,383685,0
-16,-16,0,1,0,106,3,0,0,1,0,0,0,0,0,0,2399,3324,0,18,0,1,2.471261,383685,0
-16,-16,0,1,0,108,5,0,0,1,0,0,0,0,0,0,2399,3324,0,18,0,1,2.471261,383685,0
-16,-16,1,1,0,68,15,0,2,3,1,1,0,0,0,0,695,376,0,65,0,0,2.987696,3545,0
-9.16427,-7.68005,0,1,0,107,0,0,2,4,1,1,0,0,0,0,110,617,0,3,0,0,2.643294,266,0
-9.1607,-7.67737,0,1,0,69,3,0,2,3,1,0,0,0,0,1,236,219,742,9,0,0,2.580695,1825,0
-16,-16,0,1,0,106,13,0,0,1,0,0,0,0,0,0,4708,3036,0,224,0,0,3.36876,395,0
-8.06779,-6.85759,0,1,0,61,12,1,1,2,1,0,0,0,0,0,452,27,5,19,0,0,3.386045,1056,1
-16,-16,1,1,0,78,5,0,1,1,0,1,0,0,0,0,956,1002,209,28,0,0,2.984062,32966,0
-8.07176,-6.86056,1,0,0,122,9,1,1,1,1,0,0,0,0,0,95,65,1,2,0,0,1.426393,5,1
-16,-16,0,0,0,57,6,0,0,0,0,0,0,0,0,0,4077,434,11,129,0,0,2.790591,2445,0
-7.38255,-6.34227,0,1,0,116,12,1,1,2,1,0,0,0,0,0,443,457,30,21,0,0,4.766667,4805,1
-7.67097,-6.55871,0,0,0,85,13,1,1,3,1,0,0,0,0,0,836,1008,20,40,0,0,2.651434,6862,1
-8.90854,-7.48815,0,1,0,116,13,1,1,4,1,0,0,0,0,0,1392,1214,951,54,0,0,1.614476,79579,1
-9.04188,-7.58462,0,1,0,116,15,0,1,2,0,0,0,0,0,2,11428,13317,0,60,0,0,1.362644,390783,0
-9.20921,-7.71261,1,1,0,70,0,0,0,1,0,0,0,0,0,0,3711,8,0,89,0,0,1.13021,285811,0
-8.98507,-7.54555,0,1,0,116,11,0,4,4,1,1,1,0,1,0,2147,70,0,68,0,0,2.706149,45489,0
-8.98586,-7.54614,0,1,0,119,11,0,1,2,0,0,1,0,0,0,9500,7257,2,421,0,0,2.837712,4473,0
-16,-16,0,1,0,116,0,0,1,1,1,0,0,0,0,0,120,0,0,1,0,0,1.063065,28664,0
-16,-16,0,1,0,116,15,0,1,3,1,0,0,0,0,0,4862,2226,1,167,0,0,3.353956,133423,0
-16,-16,0,1,0,88,15,0,2,4,1,0,2,0,0,0,5368,4487,0,150,0,0,2.949579,11014,0
-16,-16,0,1,0,25,0,0,0,1,0,0,0,0,0,0,116,437,0,2,0,0,1.962093,4446,0
-16,-16,0,1,0,88,10,0,1,3,1,0,0,0,0,0,1468,58,4,52,0,1,2.382271,49431,0
-16,-16,0,1,0,92,14,0,0,0,0,0,0,0,0,0,1513,0,0,136,0,0,1.99529,66687,0
-16,-16,0,1,0,33,8,0,0,0,0,0,0,0,0,0,370,1,0,7,0,0,1.443757,60118,0
-9.16308,-7.67916,0,1,0,116,8,0,1,1,0,0,0,0,0,1,618,16,6,3,0,0,1.726532,74094,0
-9.20275,-7.70866,0,1,0,116,5,0,2,4,4,0,1,0,0,0,11794,13105,6,33,0,1,2.820664,23621,0
-9.20315,-7.70851,0,1,0,89,5,0,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-9.20117,-7.70703,0,1,0,62,5,0,1,2,1,0,0,0,0,0,40093,1152,39,572,0,0,3.0969,5372,0
-9.20117,-7.70703,0,1,0,62,5,0,1,2,1,0,0,0,0,0,124,354,0,2,0,0,3.5859,233,0
-16,-16,0,1,0,62,13,0,1,2,1,0,0,0,0,0,665,834,6,62,0,0,2.541147,25081,0
-9.067,-7.60652,0,1,0,55,8,0,2,2,1,0,0,0,0,1,1030,1507,40,26,0,0,3.073655,1634,0
-9.0674,-7.60682,0,1,0,59,4,0,2,5,1,0,0,0,0,1,620,1121,59,16,0,1,2.166546,13695,0
-9.0666,-7.60623,0,1,0,67,1,0,0,1,0,0,0,0,0,0,613,431,1,46,0,0,2.519861,2008,0
-9.20077,-7.70717,1,1,0,81,1,0,1,1,1,0,0,0,0,0,189,166,1,6,0,0,3.01005,2590,0
-16,-16,0,1,0,35,0,0,0,0,0,0,0,0,0,0,240,109,8,5,0,0,4.046798,4152,0
-16,-16,0,1,0,33,0,0,0,0,0,0,0,0,0,0,614,837,22,37,0,1,2.918118,4539,0
-16,-16,0,1,0,116,3,0,1,5,0,1,0,0,0,0,157,1,0,1,0,0,3.213289,49401,0
-16,-16,0,1,0,115,15,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.06819,-7.60786,0,1,0,116,7,0,1,4,1,0,0,0,0,0,469,0,2,23,0,1,1.588646,70455,0
-8.8653,-7.45399,0,1,0,116,3,0,0,3,0,0,0,0,0,0,952,1381,2,18,0,0,3.257853,81344,0
-16,-16,1,1,0,116,3,0,0,3,0,0,0,0,0,0,1919,1896,2,9,0,0,1.614405,68852,0
-16,-16,1,1,0,116,13,0,2,3,1,0,0,0,0,1,1555,2001,1,30,0,0,2.15951,65576,0
-8.86728,-7.45593,0,1,0,116,0,0,0,0,0,0,0,0,0,0,1067,342,0,37,0,0,2.418203,35701,0
-9.16467,-7.68035,0,1,0,116,4,0,2,5,1,1,0,0,0,0,2804,499,0,156,0,0,2.640445,124008,0
-16,-16,0,1,0,116,14,0,1,6,0,2,0,0,0,0,1847,685,0,49,0,0,4.16094,363300,0
-16,-16,0,1,0,116,1,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.07881,-7.61595,0,1,0,116,14,0,1,1,0,0,0,0,0,1,7105,7972,0,25,0,1,2.640463,17306,0
-9.0003,-7.55707,0,1,0,116,3,0,1,4,0,2,0,0,0,0,234,298,57,6,0,1,3.263266,42213,0
-16,-16,0,1,1,35,7,0,0,0,0,0,0,0,0,0,1050,312,7,97,0,0,4.061661,38495,0
-8.69942,-7.32996,0,1,0,116,11,0,2,5,0,0,1,0,0,1,934,1779,0,16,0,1,2.207363,4908,0
-8.96218,-7.52722,0,1,0,116,0,0,0,3,0,0,0,0,0,0,2605,0,0,81,0,0,2.158575,4501,0
-16,-16,0,1,0,116,11,0,2,3,1,0,0,0,0,1,6834,7560,13,55,0,0,2.061464,124738,0
-16,-16,0,1,0,116,4,0,1,5,0,0,0,0,0,2,6834,7560,13,55,0,0,2.061464,124738,0
-16,-16,0,1,0,116,11,0,1,2,0,0,0,0,0,1,6834,7560,13,55,0,0,2.061464,124738,0
-9.06779,-7.60712,0,1,0,116,9,0,1,3,1,0,0,0,0,0,952,1381,2,18,0,0,3.257853,81344,0
-16,-16,0,1,0,115,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,-16,0,1,0,115,13,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.20236,-7.70836,0,1,0,116,7,0,2,4,3,0,0,0,0,1,112,58,1,30,0,0,2.647582,13049,0
-16,-16,0,1,0,116,5,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.0674,-7.60682,0,1,0,116,8,0,2,7,0,1,1,0,0,0,399,832,0,1,0,0,1.09661,68288,0
-16,-16,0,1,0,116,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,-16,0,1,0,116,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.16467,-7.68035,0,1,0,116,12,0,0,3,0,0,0,0,0,0,457,0,0,3,0,0,1.780357,56426,0
-16,-16,0,1,0,116,13,0,0,2,0,0,0,0,0,0,146,4,0,0,0,0,1.919658,43679,0
-16,-16,1,1,0,116,13,0,0,3,0,0,0,0,0,0,256,97,0,13,0,0,2.767595,6628,0
-16,-16,0,1,0,116,0,0,0,3,0,0,0,0,0,0,893,24,0,12,0,0,2.049367,156040,0
-16,-16,0,1,0,116,0,0,2,5,2,0,0,0,0,1,315,154,2,3,0,0,2.803364,125695,0
-9.20275,-7.70866,0,1,0,122,0,0,3,6,1,1,3,0,0,0,4156,388,0,57,0,0,3.034873,145455,0
-9.12345,-7.64873,0,1,0,76,5,0,1,2,1,0,0,0,0,0,2099,4,0,69,0,0,2.821648,78777,0
-9.12345,-7.64873,0,1,0,76,4,0,1,2,1,0,0,0,0,0,2099,4,0,69,0,0,2.821648,78777,0
-9.12305,-7.64844,0,1,0,68,3,0,1,3,1,0,0,0,0,0,2099,4,0,69,0,0,2.821648,78777,0
