Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number,Average_Rating
25586,The Haunting House 3: A Ghost Story,2005,PremiumGame,5 to under 12,2,6,1.4286,7,45,299,20,6,17,90,26,5.70889
10153,Wits & Wagers Party,2012,BaseGame,5 to under 12,4,18,1.1538,26,25,1329,54,20,110,576,119,6.93122
11467,Garden Competition,2004,BaseGame,5 to under 12,3,5,2.7826,23,60,177,7,78,173,179,106,6.89463
19713,Elemental,1999,BaseGame,5 to under 12,2,4,2,1,45,66,7,2,5,18,10,6.12222
13190,Swing States 2012,2012,BaseGame,12 to under 18,1,1,2.2727,11,40,152,9,24,49,54,24,7.33019
10176,Triassic Terror,2013,BaseGame,12 to under 18,2,6,2.7442,43,120,771,29,104,321,457,156,7.09125
8916,Dixit,2008,BaseGame,5 to under 12,3,6,1.2695,1332,30,27631,286,475,2997,22099,4289,7.41665
62515,Alien Uprising: Zothren Expansion,2014,PremiumGame,12 to under 18,1,5,2,1,90,266,18,3,6,16,16,5.6875
10080,Dreadfleet,2011,BaseGame,12 to under 18,2,10,2.9483,58,60,2379,109,65,289,610,245,7.09664
30875,Word Rally!,1999,BaseGame,5 to under 12,2,10,1,1,10,17,2,0,0,4,3,4.5
48190,Wyvern Pass Not,2010,BaseGame,5 to under 12,1,1,1,1,5,7,0,0,1,6,2,5.66667
40599,Munchkin 1.5: Koci zostay rzucone,2009,PremiumGame,under 5,3,6,2,3,45,103,0,7,12,61,7,6.33934
38913,Buried Treasure,2008,BaseGame,under 5,3,6,1,1,20,2,0,0,2,0,0,0
56129,Mines of the Sacred Dragon: Tile Exp Set #3,2012,PremiumGame,5 to under 12,1,5,1,1,30,11,1,0,2,1,0,10
17510,Turbulent Top,1996,BaseGame,5 to under 12,2,8,1,5,10,72,10,4,2,32,17,5.14062
8374,Conquest of the Fallen Lands,2005,BaseGame,5 to under 12,3,5,2.3673,98,90,848,72,80,318,696,321,6.87106
39609,Power Grid: Flux Generator,2008,PremiumGame,under 5,2,6,2.931,29,120,2151,84,44,102,517,215,7.50774
42165,BattleLore: Heroes Expansion,2009,PremiumGame,12 to under 18,2,2,2.7826,23,60,1166,25,81,143,238,92,7.30546
34664,Triple Crown,1984,BaseGame,under 5,2,4,1,1,45,0,0,0,0,1,1,5
22336,3quence,1999,BaseGame,5 to under 12,2,4,2,1,45,3,0,0,1,2,1,3.5
32246,.45 Adventure: Crimefighting Action in the Pulp Era,2005,PremiumGame,12 to under 18,2,6,2.5,2,120,51,2,3,12,23,9,7.42174
47521,Don't Let the Pigeon Drive the Bus Game!,2010,BaseGame,under 5,2,4,1.5,2,20,48,0,1,3,23,10,4.63043
40088,"Thiet Giap, the struggle for An Loc (1972)",2008,BaseGame,under 5,2,2,2.2,5,120,75,0,1,3,17,14,6.14706
19997,The Buntu Circus,1997,BaseGame,under 5,2,4,4,2,90,19,0,3,3,6,5,6.5
65135,Pirate's Island: Escape,2014,BaseGame,12 to under 18,2,6,3,1,60,10,1,1,6,3,1,5.66667
33971,Mayberry-opoly,2006,BaseGame,5 to under 12,2,6,1,1,120,3,0,0,0,2,1,2
35348,MageBattle,2008,BaseGame,5 to under 12,2,2,3,1,30,21,1,0,3,16,7,6.40625
7886,Impulse,2013,BaseGame,12 to under 18,2,6,2.8442,77,60,1737,87,191,672,887,302,7.17085
11272,Santa Fe,1992,BaseGame,5 to under 12,2,5,2.2143,14,70,252,7,19,46,205,62,6.93862
40113,Cthulhu: Tora! Tora! Tora!,2008,BaseGame,under 5,2,2,2,1,20,4,0,0,2,2,3,7.5
56038,Trollmaster,2011,BaseGame,12 to under 18,3,5,2.6667,3,30,14,0,2,5,7,3,7.1
14173,Screaming Eagles,1987,BaseGame,5 to under 12,2,4,1.36,25,20,584,101,10,26,270,145,5.86909
43026,Klingon Armada,2009,BaseGame,12 to under 18,2,12,2.5,4,180,80,0,5,16,19,8,7.31579
49880,Nile,2010,BaseGame,5 to under 12,2,2,3,1,45,6,0,0,0,3,2,6.86667
48006,RoboRally: King of the Hill,1999,PremiumGame,12 to under 18,2,8,2,1,60,33,0,50,79,18,14,7.22222
20195,Formula D Circuits 17 & 18: Buenos-Aires & Barcelona,1999,PremiumGame,12 to under 18,2,10,1.8333,18,120,642,12,53,60,225,75,7.5692
39418,Dinosaur Land,2008,BaseGame,under 5,2,4,1,1,20,2,0,0,0,2,2,3
42595,Jackpot,1980,BaseGame,5 to under 12,2,6,1,1,30,1,0,0,0,1,1,2
20517,The Con Game,1989,BaseGame,under 5,2,6,2.3333,3,60,52,4,2,1,15,10,6.23333
37879,Lineage,2008,BaseGame,5 to under 12,2,2,2,3,50,22,1,5,14,9,6,6.83333
54577,Steeplechase,2012,BaseGame,5 to under 12,2,10,2,1,10,22,0,0,4,14,8,7.27142
17736,Nino Delfino,2010,BaseGame,under 5,2,4,1,4,20,37,0,0,1,33,9,4.93939
17271,Trivial Pursuit: Know-It-All Edition,1998,BaseGame,12 to under 18,2,6,2,5,90,108,1,1,5,40,11,5.525
12903,The Mob,1993,BaseGame,12 to under 18,2,6,1.875,24,60,289,15,6,16,150,49,6.319
26541,Winner's Eye View,1995,BaseGame,under 5,2,6,3,1,120,6,0,1,1,1,0,6
17597,Where There's A Will,2002,BaseGame,5 to under 12,2,6,1,5,45,73,5,1,1,30,11,4.97167
32539,Novo Dice,2006,BaseGame,under 5,2,4,1,1,20,11,1,6,3,19,7,4.63684
63341,Microvores,2014,BaseGame,12 to under 18,2,4,1.5,2,45,16,1,2,3,12,6,6.91667
37070,Spartacus: Gladiator Rules,2002,BaseGame,under 5,2,2,2,1,45,3,0,0,0,1,1,7
66694,Micro Rome,2014,BaseGame,5 to under 12,1,1,1.3333,3,30,35,0,0,6,18,9,7.23889
44061,Starfis,2009,BaseGame,5 to under 12,0,4,1,1,150,3,0,0,0,1,1,7
34143,Battleground: Crossbows & Catapults Twin Attack Armory Packs,2007,PremiumGame,5 to under 12,2,2,1.4545,11,30,312,29,15,20,102,70,6.54314
12549,Pirates of Nassau,2012,BaseGame,5 to under 12,3,5,2.8571,14,90,175,15,23,93,87,35,7.11207
61370,Cards Against Humanity: 12 Days of Holiday Bullshit,2013,PremiumGame,12 to under 18,4,30,1.2778,18,30,1876,17,17,31,278,75,7.07626
37864,FATAL,2007,BaseGame,5 to under 12,3,5,1.6667,3,30,95,13,0,2,25,8,5.24
17827,Xena Warrior Princess: The Board Game,1998,BaseGame,5 to under 12,2,4,2.2,5,60,110,15,8,16,32,24,4.92188
66435,Reclaim Oz,2015,BaseGame,5 to under 12,2,6,1,1,45,18,2,0,1,6,2,7.58333
56865,Lords of Waterdeep: Scoundrels of Skullport,2013,PremiumGame,12 to under 18,2,6,2.626,246,60,10806,70,397,1334,4491,924,8.26027
7950,Key Harvest,2007,BaseGame,5 to under 12,2,4,3.0383,183,90,2495,175,96,309,1390,546,6.82467
58516,No Good Gremlins,2013,BaseGame,5 to under 12,2,5,1,1,45,38,0,0,16,13,12,6.19231
9536,Cacao,2015,BaseGame,5 to under 12,2,4,1.8515,101,45,1417,22,159,549,1021,221,7.20078
64822,Rivet Wars: The Treasure Hunter,2014,PremiumGame,12 to under 18,1,2,4,1,30,80,4,7,10,7,4,7.71429
10240,King Me!,1998,BaseGame,5 to under 12,3,6,1.2199,191,30,1769,89,30,193,1713,580,6.37801
15798,Scary Tales: Prince Charming vs. Hansel,2010,BaseGame,12 to under 18,2,2,1.8,5,20,125,5,3,17,44,11,6.08636
18205,"Strange Defeat:  The Fall of France, 1940",2006,BaseGame,12 to under 18,2,2,2.1429,28,60,264,30,2,9,90,64,5.115
15151,Nowheresville: Bandit Paradise,2013,BaseGame,5 to under 12,2,5,2,4,60,67,6,3,21,33,8,6.83333
26659,Vatican: The Board Game,2007,BaseGame,12 to under 18,2,6,2.5,2,60,23,2,3,10,11,10,4.81818
55407,The Emerald City (fan expansion to Ticket to Ride),2013,PremiumGame,5 to under 12,2,6,2,2,60,66,0,18,87,23,11,7.56304
12246,Magnum Opus,2014,BaseGame,12 to under 18,2,4,2.5833,12,60,195,4,28,107,84,32,7.3756
25914,Twelve Teepees Memory,1984,BaseGame,5 to under 12,2,4,1,1,15,15,1,0,0,6,5,6.79167
31425,Madelinette,1993,BaseGame,5 to under 12,2,2,1,1,10,8,0,0,0,3,4,2.66667
13415,Trivial Pursuit: Master Edition,2010,BaseGame,12 to under 18,2,6,1.4286,14,60,290,1,2,14,163,24,6.24969
21789,The Last Hurrah: ASL Module 6,1988,PremiumGame,12 to under 18,2,2,4.3778,45,120,1139,32,11,20,309,106,7.58252
15920,Clue:  The Twilight Zone  Tower of Terror,2007,BaseGame,under 5,3,6,2,2,30,78,0,2,12,30,5,6.24333
17348,Aapep,2007,BaseGame,5 to under 12,2,4,2.1,10,20,152,24,3,12,64,46,5.37969
15073,Tokami,1998,BaseGame,5 to under 12,2,5,1.3333,3,30,81,2,11,14,34,18,6.57647
68133,504,2015,BaseGame,12 to under 18,2,4,2,2,120,21,0,322,1759,29,51,7.83621
65241,Krosmaster: Arena - Season 2 Exp #3 - Head Hunters,2014,PremiumGame,12 to under 18,2,4,1,1,60,131,1,10,20,13,1,7.73077
56720,Lacuna Expanse: A New Empire,2012,BaseGame,12 to under 18,1,4,2,1,60,4,1,0,1,2,1,4.5
41834,Black Stories Kln Edition,2009,BaseGame,12 to under 18,2,15,1,1,20,18,2,1,2,4,3,6.125
12560,Triovision,2008,BaseGame,5 to under 12,1,6,1.3529,17,20,186,5,5,10,135,31,6.59481
7806,Trains: Rising Sun,2014,BaseGame,12 to under 18,2,4,2.425,40,45,1600,21,235,568,535,163,7.78876
59371,Fleet: Arctic Bounty,2014,PremiumGame,5 to under 12,1,6,2.2593,27,30,1632,36,83,182,336,170,7.94268
15596,Star Wars Lightsaber Dueling,1988,BaseGame,12 to under 18,2,2,2,9,20,193,9,12,16,82,37,5.7939
28789,Elves Under Hoof,2005,BaseGame,12 to under 18,1,2,1,3,60,38,0,2,11,15,18,6.7
38684,Bible 20 Questions,2007,BaseGame,under 5,2,4,2,1,5,6,0,0,0,3,2,4.66667
28823,Carcassonne: The Tower,2006,PremiumGame,5 to under 12,2,6,2.1551,316,60,9019,98,81,370,3721,1024,6.57816
8290,Star Fluxx,2011,BaseGame,5 to under 12,2,6,1.4275,138,10,4889,74,35,303,2276,389,6.52218
13921,The Battle of Five Armies,1984,BaseGame,12 to under 18,2,2,2.8,10,150,220,8,40,35,85,43,6.34824
65756,Polak May,2014,BaseGame,under 5,2,8,1,1,15,6,0,0,2,2,0,7.75
7990,World of Warcraft: The Boardgame,2005,BaseGame,12 to under 18,2,6,3.493,568,180,5790,320,135,647,4010,1213,6.61387
21392,Pictionary: Simpsons Edition,2002,BaseGame,5 to under 12,3,7,1,1,60,48,6,3,4,15,8,4.9
46397,Snorkels,2010,BaseGame,5 to under 12,2,2,2,2,10,16,0,0,8,12,6,6.875
28809,Saint Petersburg: The Banquet,2005,PremiumGame,5 to under 12,2,4,2.2766,47,45,657,31,27,51,297,134,6.80283
26058,Mike Mulligan and His Steam Shovel Opposites Game,1999,BaseGame,under 5,1,4,1,2,10,4,1,0,0,2,3,4.5
63249,Wanted: The Outlaws,2014,BaseGame,5 to under 12,1,4,1.6667,3,30,51,0,3,7,15,8,7.4
29324,Musical Assassins,2006,BaseGame,5 to under 12,7,20,1,1,20,1,0,0,0,0,0,0
17433,Scene It? Disney Second Edition,2007,BaseGame,under 5,2,4,1,1,45,211,13,2,3,80,20,5.43
