Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number
35605,Billiards,2002,BaseGame,under 5,2,2,2,1,20,1,0,0,0,2,1
10851,Chronology,1996,BaseGame,12 to under 18,2,8,1.4915,59,30,701,44,16,40,524,230
50034,Our Sonovabitch,2011,BaseGame,5 to under 12,2,2,1,2,10,4,0,0,1,0,0
56066,Trains: Map Pack 1  Germany/Northeastern USA,2012,PremiumGame,12 to under 18,2,4,2.3636,11,45,1091,14,45,95,145,66
10487,Cadwallon: City of Thieves,2010,BaseGame,5 to under 12,2,4,2.2245,98,45,2122,122,112,570,1213,361
26731,Spellbound,1988,BaseGame,5 to under 12,2,4,1,1,30,7,0,0,0,3,1
17710,The Suicide Bomber Card Game,2003,BaseGame,12 to under 18,2,2,1.7778,9,30,155,18,7,24,77,41
56499,Braccio da Montone,2012,BaseGame,12 to under 18,2,2,3,1,120,55,1,8,7,15,4
8402,The Great Fire of London 1666,2010,BaseGame,12 to under 18,3,6,2.5304,115,120,1683,85,142,446,1065,382
7851,The Staufer Dynasty,2014,BaseGame,12 to under 18,2,5,3.0308,65,90,1072,19,124,434,794,200
15226,Scrabble Express,2007,BaseGame,5 to under 12,2,4,1.7857,14,20,289,17,7,11,139,70
18416,Lava Dragon,2009,BaseGame,5 to under 12,2,4,1.2,25,15,466,10,3,13,171,59
35538,Black Sheep,2005,BaseGame,5 to under 12,2,6,1.5,2,15,7,2,0,0,3,1
9526,Hermagor,2006,BaseGame,12 to under 18,2,5,3.1765,221,120,1790,107,75,273,1565,582
35417,Duel in the Dark: British 3.7in QF Anti-Aircraft Gun,2007,PremiumGame,under 5,1,2,2.3333,6,45,295,18,2,7,36,24
55054,Vege Tables,2012,BaseGame,5 to under 12,2,5,2,1,15,19,0,0,0,9,3
20170,"How to Host a Murder: The Good, The Bad & The Guilty",1996,BaseGame,18 to under 21,8,8,1,1,180,76,10,5,4,23,17
9002,Spartacus: A Game of Blood & Treachery,2012,BaseGame,12 to under 18,3,4,2.6716,271,150,4617,150,195,879,3404,760
31163,Zzzymble,2006,BaseGame,5 to under 12,1,5,1,2,10,5,0,1,2,3,3
8053,Full Metal Planete,1988,BaseGame,12 to under 18,2,4,3.1346,52,90,712,20,185,317,552,176
43923,Classic Battletech: Mercenaries Supplemental II,2005,PremiumGame,12 to under 18,2,6,4,1,120,33,0,0,6,2,0
15091,Paradisio,2010,BaseGame,5 to under 12,1,2,1.4,5,15,131,17,6,14,45,22
62772,Noueni,2013,BaseGame,12 to under 18,2,4,2,2,30,86,3,1,2,26,5
20119,Tyrannosaurus Wrecks,1985,BaseGame,5 to under 12,1,4,1.5,4,120,66,4,3,5,16,11
60746,"Pathfinder Adventure Card Game: Rise of the Runelords  ""Dance With Squealy Nord"" Promo Card",2013,PremiumGame,5 to under 12,1,4,3,4,90,535,36,29,55,71,35
60771,Pocket Football,2013,BaseGame,5 to under 12,1,2,1,3,15,28,2,3,10,11,8
46883,WW2,1991,BaseGame,12 to under 18,2,5,1,1,90,9,0,0,0,4,0
40217,Brazilwood,2008,BaseGame,under 5,2,4,3,1,60,5,0,2,6,1,2
59873,Mascarade: The Damned,2013,PremiumGame,5 to under 12,2,13,1.3333,6,30,819,126,9,28,87,60
27138,Sloppy Seconds,2005,BaseGame,5 to under 12,3,4,1.3333,3,30,11,0,0,0,5,7
27975,More S'mores,2000,BaseGame,5 to under 12,2,6,1,2,20,9,0,0,1,6,3
29222,HoverTank: Death and Destruction in the fight for Oil in 2022,1997,BaseGame,12 to under 18,2,2,2,1,45,16,0,6,6,6,4
53470,Grandpa  Beck's Golf,2008,BaseGame,5 to under 12,2,5,1.5,2,30,64,3,1,1,18,7
17247,Tempus Draconis,2003,BaseGame,5 to under 12,2,6,1.5,10,60,161,14,5,25,76,36
43771,Call of Cthulhu: The Card Game  Sleep of the Dead Asylum Pack,2009,PremiumGame,12 to under 18,2,2,2.6667,3,20,349,10,10,22,43,16
19358,Kontor: Das Exportlager,2000,PremiumGame,12 to under 18,2,2,2.5,6,45,195,8,6,11,37,17
20222,Real People,1991,BaseGame,5 to under 12,3,6,1,1,30,41,2,2,4,19,6
19784,Heroes of Asfar,1993,BaseGame,5 to under 12,4,8,1,1,45,24,4,1,2,13,7
8993,Kingsburg,2007,BaseGame,12 to under 18,2,5,2.4249,1078,90,11831,168,900,3088,12484,3011
19206,Tor,1995,BaseGame,5 to under 12,2,2,1,1,20,63,5,1,3,29,11
54136,Ice3,2012,BaseGame,5 to under 12,3,5,1,2,40,25,1,1,8,15,1
42274,Are you Smarter Than a 5th Grader? Disney Edition Card Game,2008,BaseGame,5 to under 12,2,7,2.5,2,20,11,0,0,1,2,1
13635,Ocean Limbo,2011,BaseGame,5 to under 12,2,5,1.0588,17,20,99,6,7,21,113,42
27516,Star Fleet Battles: Module K  Fast Patrol Ships,1991,PremiumGame,12 to under 18,2,12,4.3333,12,180,186,4,1,3,59,11
47057,Joris en de Draak,2010,BaseGame,5 to under 12,2,4,1,2,30,16,0,0,1,7,1
22878,Mayhem: Warrior Heroes,2002,BaseGame,12 to under 18,1,8,1,1,120,15,1,1,1,7,4
42351,Age of Steam Expansion: Beer & Pretzels,2009,PremiumGame,5 to under 12,3,6,3,2,90,82,0,12,17,10,9
9306,San Juan (second edition),2014,BaseGame,5 to under 12,2,4,2.1556,45,60,1507,26,164,461,694,170
53381,La Course  l'lyse,2012,BaseGame,12 to under 18,3,6,1,1,45,12,0,0,1,5,2
8567,Travel Carcassonne,2007,BaseGame,5 to under 12,2,5,1.875,32,30,779,16,25,80,347,114
8467,Masques,2010,BaseGame,12 to under 18,2,4,2.0147,68,45,1871,80,40,180,896,228
17305,Skl,2004,BaseGame,5 to under 12,3,6,1.875,16,60,248,17,15,34,134,42
10112,Council of Verona,2013,BaseGame,12 to under 18,2,5,1.3585,53,20,2034,101,104,448,1071,323
35283,Fleet Action Imminent! General Quarters WWI Rules,2008,BaseGame,under 5,2,12,3.3333,3,120,41,0,4,10,14,7
8591,Advanced Heroquest,1989,BaseGame,5 to under 12,1,5,2.8734,79,120,1662,53,167,275,903,351
9264,Tumblin-Dice,2004,BaseGame,12 to under 18,1,4,1.044,182,30,2031,16,445,1046,2323,748
37127,Corps d'Armee,1989,BaseGame,under 5,2,4,3,2,120,8,0,0,0,0,1
65860,Star Wars: Armada  Assault Frigate Mark II Expansion Pack,2015,PremiumGame,12 to under 18,2,2,2.5714,7,120,581,3,24,63,60,18
56395,The Castles of Burgundy: 2nd Expansion  New Hex Tiles,2012,PremiumGame,12 to under 18,2,4,2.6154,26,90,1796,19,112,220,390,150
64357,Nuevo Mundo,2014,BaseGame,12 to under 18,2,5,2.5,2,90,25,0,1,6,16,2
56948,World Wide Hockey,2012,BaseGame,5 to under 12,2,2,1,2,30,5,1,1,0,5,3
11952,The Little Orchard,2004,BaseGame,under 5,1,4,1.125,24,15,299,8,8,41,187,77
32207,Schweine Poker,2006,BaseGame,5 to under 12,2,6,1,1,20,4,1,0,0,3,0
68903,World's Fair 1893,2016,BaseGame,5 to under 12,2,4,2,2,45,8,0,13,65,5,8
39839,Heian,2008,BaseGame,under 5,2,2,2,2,30,10,0,0,3,2,4
20096,Cosmic Encounter: Expansion Set #5,1980,PremiumGame,12 to under 18,3,6,2.375,8,90,284,4,9,14,113,47
14335,You Suck,2013,BaseGame,5 to under 12,2,6,1.3,10,30,201,18,6,20,95,34
38485,USA & Canada Pegboard Football,2008,BaseGame,under 5,2,2,1,1,60,2,0,0,1,5,1
13818,RoadKill,1993,BaseGame,12 to under 18,2,10,2.3889,36,90,563,45,27,39,258,104
35277,!Blitzkrieg,1981,BaseGame,under 5,2,2,1,1,30,9,1,1,1,6,2
56630,Mines of the Sacred Dragon: Promo Exp Set #1,2012,PremiumGame,5 to under 12,1,5,1,1,30,9,1,0,1,2,0
10185,Escape from Atlantis,1986,BaseGame,5 to under 12,2,4,1.5745,141,60,1569,88,52,119,1040,375
40753,A Game of Thrones: The Card Game  The Battle of Ruby Ford,2008,PremiumGame,12 to under 18,2,4,2.5,4,60,406,13,15,23,55,18
48898,Number Please!,2011,BaseGame,5 to under 12,1,99,1.5,2,15,55,2,2,9,16,6
17810,Monopoly: Deluxe Anniversary Edition,1985,BaseGame,5 to under 12,2,10,1.1818,11,120,273,11,0,5,138,55
13095,Klickado,2008,BaseGame,under 5,2,5,1,15,15,133,3,15,41,158,32
32385,Die drei ???: Geheimsache Ufo,2000,BaseGame,5 to under 12,2,4,1,1,20,4,0,0,0,1,2
7507,Lords of Xidit,2014,BaseGame,12 to under 18,3,5,2.65,100,90,2295,44,295,1000,1461,301
7316,Legends of Andor,2012,BaseGame,12 to under 18,2,4,2.6954,348,90,7161,161,522,2139,4436,946
54686,Wrong Chemistry: Custom Elements,2012,PremiumGame,5 to under 12,2,4,2,1,25,183,6,1,5,25,9
14562,Busstop: The Boardgame,2010,BaseGame,5 to under 12,2,5,1.8,5,20,43,2,9,17,52,22
28527,Dinosaurs: The Game of Survival,1994,BaseGame,5 to under 12,2,4,1.5,2,30,13,0,0,2,2,3
32627,Fondue,2007,BaseGame,5 to under 12,2,6,2,1,60,7,0,0,2,7,3
43768,Caterpillar: Age of Tank,2009,BaseGame,5 to under 12,2,4,3,2,60,15,2,3,11,20,7
58830,Warrior Heroes: Legends,2013,PremiumGame,12 to under 18,1,8,1,1,120,28,0,1,6,9,5
41060,Delivery!,2009,BaseGame,5 to under 12,2,6,1,1,30,6,1,0,6,2,2
21713,Star Fleet Battles Expansion #1,1980,PremiumGame,12 to under 18,0,2,3.75,12,120,246,11,3,3,87,26
43747,Time's Up! Game Geek Expansion,2009,PremiumGame,12 to under 18,4,18,1.3571,14,45,212,2,10,24,113,30
46502,La Loi de la Savane,2006,BaseGame,5 to under 12,2,2,2,1,30,4,0,0,0,1,0
8036,Illuminati:  Deluxe Edition,1987,BaseGame,12 to under 18,2,8,2.6583,398,180,6313,308,85,365,3904,1095
23049,Chifoumi,1999,BaseGame,5 to under 12,2,4,2,2,20,25,0,1,4,15,4
57798,Game Wonders (fan expansion for 7 Wonders),2013,PremiumGame,5 to under 12,2,8,2.5,2,30,42,0,5,22,14,9
21709,Terra Galactix,2003,BaseGame,under 5,2,4,2,1,30,29,3,4,7,6,3
15882,Sale of the Century Quizzard,1986,BaseGame,5 to under 12,2,6,2,2,45,77,7,1,1,32,24
18608,Krumble,2006,BaseGame,5 to under 12,3,6,1.5,12,30,180,15,4,16,87,47
12335,Musketeers,1991,BaseGame,5 to under 12,2,4,1.1111,27,40,853,83,13,54,333,116
8068,Merchants of Amsterdam,2000,BaseGame,5 to under 12,3,5,2.6322,174,60,1995,163,41,136,1358,530
32031,Piecepack Letterbox,2006,BaseGame,5 to under 12,3,6,1.5,2,60,6,0,3,3,3,3
15700,Dungeon Bazar,2014,BaseGame,5 to under 12,2,5,2.5,10,50,167,10,24,130,104,42
21580,BattleTech: AeroTech,1986,PremiumGame,12 to under 18,2,8,3.0233,43,120,547,34,4,14,256,91
56341,Sub Heroes,2011,BaseGame,5 to under 12,2,5,1,1,30,7,2,0,0,3,1
22634,Don't Monkey Around,1987,BaseGame,under 5,2,4,1,1,10,4,0,0,0,6,1
44989,Fast Lane,2010,BaseGame,5 to under 12,2,6,1,6,10,57,0,1,3,29,13
10348,Eminent Domain: Microcosm,2014,BaseGame,12 to under 18,2,2,1.8667,45,15,1954,54,26,146,477,189
9879,Ashes: Rise of the Phoenixborn,2015,BaseGame,12 to under 18,2,4,3,40,120,802,8,184,827,317,94
15042,Bezzerwizzer Familieudgave,2007,BaseGame,under 5,2,4,2,1,45,73,1,0,1,46,8
56374,Maharani: Two-Colored Center Column Tiles,2012,PremiumGame,5 to under 12,2,4,2,4,40,426,31,3,7,35,21
54685,Wrong Chemistry: Element Expansion,2012,PremiumGame,5 to under 12,2,4,1.5,2,25,216,6,1,3,44,18
67447,Svet tiine,2010,BaseGame,5 to under 12,2,4,1,7,30,7,0,0,0,5,0
29559,Hoffman-Singleton,2006,BaseGame,5 to under 12,1,7,4,1,15,12,0,2,2,5,4
26397,EasyShips,2003,BaseGame,12 to under 18,2,2,2.6667,3,30,15,0,1,4,6,6
62260,Panzer Grenadier: An Army at Dawn,2015,BaseGame,12 to under 18,2,2,3,1,30,29,0,3,6,5,3
16486,Remote Possibilities,2002,BaseGame,under 5,3,6,1.1667,6,30,71,3,1,3,40,14
71505,Corinth,-99,BaseGame,under 5,1,2,2,1,75,0,0,1,2,1,0
64303,Raider 33: Pinguin,2014,BaseGame,12 to under 18,1,1,3,1,90,12,0,0,2,3,3
44118,Pokmon TCG: Rumble,2009,BaseGame,5 to under 12,2,7,1,2,30,30,2,0,0,19,10
46444,Infiltrate,2009,BaseGame,5 to under 12,2,2,2,2,15,11,0,0,2,6,5
67787,Sol:  Last Days of a Star,2016,BaseGame,5 to under 12,2,5,2.5,2,90,4,0,2,4,8,5
12020,Steam Torpedo: First Contact,2011,BaseGame,12 to under 18,2,2,2.3333,15,40,387,16,54,168,151,45
36397,"Solitaire Scenarios for Use with Panzer, Armor, and 88",1981,PremiumGame,under 5,1,1,2.5,2,120,36,4,10,13,4,3
50264,Warhammer: Invasion  The Iron Rock,2011,PremiumGame,12 to under 18,2,2,2.5,4,45,313,6,17,23,46,18
13071,Stratego: Star Wars,2002,BaseGame,5 to under 12,2,2,1.6667,24,30,638,64,13,26,296,116
17744,I Spy Eagle Eye,2006,BaseGame,5 to under 12,1,4,1,6,20,110,2,1,2,38,17
54326,Who Took the Apple?,2012,BaseGame,12 to under 18,4,4,2,1,10,3,0,1,5,2,1
10677,Super Fantasy: Ugly Snouts Assault,2013,BaseGame,5 to under 12,1,6,2.4,25,90,583,35,85,377,286,89
50835,Mondo: Zusatzspieler Pack B,2011,PremiumGame,5 to under 12,2,5,2.3333,3,30,215,7,15,22,53,9
16976,"Piraten, Planken & Peseten",2004,BaseGame,5 to under 12,2,4,1.6667,6,45,76,5,7,8,46,21
29723,Alexander's Triumph,2004,BaseGame,12 to under 18,2,2,3,1,150,2,0,4,2,0,1
16071,DaVinci's Challenge,2004,BaseGame,5 to under 12,2,4,2.0702,57,30,1127,155,3,31,472,231
33040,Admiral,2006,BaseGame,under 5,2,2,3,1,60,5,0,5,11,8,5
64675,Nations Promo Pack 2014: Inspiration,2014,PremiumGame,12 to under 18,1,5,4,2,120,397,6,22,64,40,23
16381,Caves & Claws,1998,BaseGame,5 to under 12,1,4,1.3333,12,20,184,16,11,37,85,70
14588,West Riding Revisited,2010,BaseGame,12 to under 18,3,6,3.25,4,120,137,9,9,11,41,18
49551,Planet Raiders,2007,BaseGame,5 to under 12,2,4,3,1,50,10,2,0,0,1,1
31652,Prophecy: Water Realm,2006,PremiumGame,5 to under 12,2,5,2,2,180,193,2,63,135,32,11
31524,Moneyworld Inve$tor,1996,BaseGame,under 5,2,5,2,2,150,6,0,0,0,2,0
8562,Heartland,2009,BaseGame,5 to under 12,2,5,2.1017,59,60,681,41,101,217,533,178
13175,Star Wars: Battle of Hoth,2012,BaseGame,5 to under 12,2,4,1.125,16,15,388,7,24,84,149,45
21526,Willi Wichtel,1997,BaseGame,under 5,2,4,2,1,30,17,0,0,0,6,5
12638,Oriente,2004,BaseGame,5 to under 12,4,12,2.1351,74,30,1173,96,19,39,604,281
63673,Historia: The Golden Eras,2014,PremiumGame,12 to under 18,1,6,2.3333,3,90,318,14,11,20,18,10
13456,Peter the Great,1983,BaseGame,12 to under 18,2,2,2.5385,13,120,281,18,0,5,82,46
65043,Vuelta Rapida,2014,BaseGame,5 to under 12,4,12,1.6667,3,30,2,0,1,8,14,8
16660,FLY,2015,BaseGame,5 to under 12,2,4,1.4,5,10,288,3,2,7,55,30
30166,Robot Face Race,1984,BaseGame,under 5,2,4,1,2,15,29,2,3,5,16,9
36869,UNO: Texas,2006,BaseGame,5 to under 12,2,10,1,1,30,7,0,0,2,3,3
9928,Duel of Ages Set 1: Worldspanner,2003,BaseGame,12 to under 18,2,16,2.8624,189,120,2334,346,70,395,1616,851
62998,Quack a-doodle Moo!,2014,BaseGame,5 to under 12,3,8,1,2,25,32,0,5,9,13,6
32923,4th Street Baseball,2007,BaseGame,under 5,1,2,3,1,90,9,0,4,5,4,2
59782,DubbelYatzy,2013,BaseGame,5 to under 12,1,6,2.4,5,15,20,0,1,6,18,10
39679,Zooloretto: The Gorilla,2008,PremiumGame,5 to under 12,2,5,1.7143,7,45,781,14,31,40,163,69
8215,Dead Man's Draw,2015,BaseGame,12 to under 18,2,4,1.3788,66,15,1609,35,62,243,734,206
10064,Nacht der Magier,2005,BaseGame,5 to under 12,2,4,1.1238,105,20,1238,27,133,357,919,364
9970,Flick 'em Up!,2015,BaseGame,5 to under 12,2,10,1.4595,37,30,960,11,410,1493,368,102
23778,Corso Cannelloni,2004,BaseGame,under 5,2,4,1,4,15,19,0,1,1,8,3
15082,Enuk,2008,BaseGame,5 to under 12,2,5,1.375,8,20,237,23,2,13,70,45
16345,Trainsport: Switzerland,1997,BaseGame,12 to under 18,3,5,3,1,120,62,2,10,9,31,8
14980,"Bitter Victory:  The Invasion of Sicily, 1943",2006,BaseGame,12 to under 18,1,2,2.5417,24,60,306,22,5,21,69,50
12085,Zeus on the Loose,2006,BaseGame,5 to under 12,2,5,1.1159,69,15,918,61,9,46,504,209
39893,Voff sa grisen,2008,BaseGame,under 5,1,3,1,1,5,4,0,0,0,1,1
69188,Ligny,2015,BaseGame,12 to under 18,1,2,2,1,90,0,0,0,3,1,0
17698,Globetrotters,1984,BaseGame,12 to under 18,2,6,1.7647,17,90,266,26,5,7,133,54
12044,Halli Galli,1990,BaseGame,5 to under 12,2,6,1.0071,141,10,1973,71,11,70,1375,362
15753,Super Comics,2010,BaseGame,12 to under 18,3,20,1,4,20,119,6,3,7,53,14
40964,Fast and Dirty,2003,BaseGame,12 to under 18,2,2,3,2,60,18,0,0,3,9,4
29239,Alchymia: La Qute du Cristal Noir,2006,BaseGame,5 to under 12,2,5,2,1,60,19,3,1,4,10,1
33355,Build a Village,2006,BaseGame,under 5,2,4,1,1,15,3,0,6,11,3,3
36490,Traffic Patterns,2008,BaseGame,under 5,2,4,1.5,2,25,15,2,0,3,3,4
58266,A Game of Thrones: The Board Game (Second Edition)  A Feast for Crows,2013,PremiumGame,12 to under 18,4,4,3.4151,53,120,2032,15,72,293,593,173
17896,Die Weinhndler,2000,BaseGame,5 to under 12,3,6,1.75,4,60,122,9,2,6,54,21
